price,price_binned,price_log,host_months,host_is_superhost,host_listings_count,host_identity_verified,lat_long_interaction,accommodates,bathrooms,bedrooms_num_cap,beds_num_cap,amenities_count,has_free_parking,has_self_checkin,is_shared_bath,is_private_bath,distance_km_to_city,distance_km_to_airport,distance_km_to_yarra_ranges,room_type_Private room,room_type_Shared room,property_type_category_Hospitality,property_type_category_Rental Unit,property_type_category_Residential_misc,property_type_category_Unique,minimum_nights,maximum_nights,availability_30,availability_365,instant_bookable,listings_in_neighbourhood,number_of_reviews_ltm,listing_active_months,has_description,has_neighborhood_overview
56.0,"(15.999, 102.0]",4.02535169073515,180,1,1.0,1,-5475.3048734306,2,1.0,1.0,1.0,57,0,1,1,0,5.470979334701201,16.284675814664773,54.35051095598313,True,False,False,True,False,False,7,29,1,301,0,598,22,139.59753593429159,1,1
119.0,"(102.0, 139.0]",4.77912349311153,170,1,1.0,1,-5531.2309578986,5,1.0,3.0,3.0,45,1,0,0,0,42.75515317223709,61.51013774661787,40.778898234828596,False,False,False,True,False,False,1,14,20,306,0,246,25,165.0924024640657,1,1
186.0,"(180.0, 259.0]",5.225746673713202,169,1,2.0,1,-5482.0142204778,4,1.0,2.0,2.0,56,1,1,0,0,1.9395791428756244,20.223726066886215,54.2457159244527,False,False,False,False,True,False,21,90,9,222,0,5913,12,77.24024640657085,0,1
123.0,"(102.0, 139.0]",4.812184355372417,169,1,6.0,1,-5499.8637713157,2,1.0,1.0,1.0,60,1,1,0,0,16.49732843641163,35.24669944424881,45.39040201140335,False,False,False,True,False,False,2,1125,11,302,0,443,11,161.87268993839837,1,1
89.0,"(15.999, 102.0]",4.48863636973214,169,1,8.0,1,-5536.8931327552,2,1.5,1.0,1.0,59,1,0,1,0,40.33146200785136,59.42413333570741,59.32443376508609,True,False,False,False,False,False,5,45,15,92,0,238,6,161.90554414784395,1,1
160.0,"(139.0, 180.0]",5.075173815233827,169,0,1.0,1,-5483.853045414114,2,1.0,1.0,1.0,52,1,1,0,0,3.7275899274892255,21.9955753584219,52.59414904441072,False,False,False,True,False,False,6,21,0,39,0,1150,2,159.9671457905544,1,1
272.0,"(259.0, 1143.0]",5.605802066295998,169,1,2.0,1,-5481.441547225801,4,1.5,1.0,1.0,30,0,1,0,0,0.10436680377161954,19.23854146143295,56.1691807190641,False,False,False,False,True,False,2,1125,5,174,0,5913,43,161.83983572895278,1,1
60.0,"(15.999, 102.0]",4.0943445622221,165,1,1.0,1,-5482.857648330099,1,1.0,1.0,1.0,29,1,1,1,0,6.502571229784684,22.752698411858347,49.69193414323426,True,False,False,True,False,False,2,30,25,333,0,442,27,162.36550308008214,0,0
79.0,"(15.999, 102.0]",4.3694478524670215,169,1,8.0,1,-5536.846935660699,1,1.5,1.0,1.0,39,1,0,1,0,40.283801945716924,59.36603044005401,59.4602065644872,True,False,False,False,False,False,5,30,27,88,0,238,3,125.63449691991786,1,1
313.0,"(259.0, 1143.0]",5.746203190540153,163,1,2.0,1,-5480.7711928245,4,1.0,2.0,2.0,64,1,1,0,0,1.6818685526366575,19.25896059040549,54.75993584511982,False,False,False,False,True,False,24,500,14,332,0,1150,4,108.48459958932239,1,1
